title_factor,artist_name_factor,max_duration
Pictures At An Exhibition,Emerson_ Lake & Palmer,2149.32853
Time To Melt,Lard,1915.79383
My Shadow,Tiny Vipers,1770.26567
Harmony,Blonde Redhead,316.05506
Harmony,Takagi Masakatsu,1626.69669
Black Gipsy,Archie Shepp,1539.3171
Reflections,Home Grown,1535.9473
Reflections,Zero Hour,236.43383
September Song,Pygmy Lush,1500.23791
Black Ice,Bill Laswell,1476.88444
The Ramones,Henry Rollins,1418.89261
Space Truckin',Deep Purple,1281.64526
Arsonist Savior,Cephalic Carnage,1276.42077
Vahevala,Loggins & Messina,1262.34077
Pudding En Gisteren Music For Ballet,Supersister,1258.03057
Jesus & Tori_ Civeta Dei_ and Sleeping With the Fishes_ See? (Live),The Number Twelve Looks Like You,1247.86893
Out Demons Out,The Edgar Broughton Band,1224.202
Sea Last,Taylor Deupree and Giuseppe Ielasi,1128.01914
Fever_ A Warm Poison,Oren Ambarchi,1069.34812
Vertical Smile,BLEED THE SKY,1054.56281
Je Veux Cette Fille,Jacques Higelin,1004.09424
In The Presence Of Enemies Pt. 2,Dream Theater,998.42567
Scorpion Dream,Not Breathing,939.88526
Carnivorous Circus Part One,Mick Farren,916.4273
Temet Nosce,Rosetta,895.89506
Un Dia Bonito,Eddie Palmieri,889.28608
Club Zebra,Ulf Lundell,882.442
Happiness is just around the bend,Brian Auger's Oblivion Express,881.29261
Morning of Balachaturdasi,Painkiller,876.48608
Medley (Gateway/Outer/Stops/Enemy),IQ,867.16036
LA Money Train,Rollins Band,855.17016
Particle Shower,William Basinski,853.10649
Big Foot (Live),Greg Osby,849.47546
Children Of Sanchez,Chuck Mangione / Don Potter,848.27383
Face In A Night Time Mirror - Part 2,Wolves In The Throne Room,838.42567
A Coward No Longer,James Horner;Rahat Nusrat Fateh Ali Khan,829.20444
Blues For Tomorrow,Thelonious Monk Septet,813.5571
Revolution,Molella,342.96118
Revolution,Archie Shepp_ Napoleon Maddox_ Oliver Lake_ Hamid Drake_ Joe Fonda_ Cochemea Gastelum,806.55628
Going Home,Alvin Lee,805.98159
Paint It Black Medley: Black On Black In Black / Paint It Black / Laurel & Hardy / Pintelo Negro / P.C. 3 / Blackbird,Eric Burdon & War,804.20526
In Death - Is Death,Meshuggah,802.69016
Lawless,Christy Moore,777.29914
#36,DAVE MATTHEWS BAND,775.36608
Misty,"Richard ""Groove"" Holmes",772.10077
Overlord Rapture In Vines Part 9,Hey Colossus,768.86159
Tundra 4,Squarepusher,762.95791
Swegbe And Pako,Fela Kuti,750.62812
Luggumt,Scorch Trio,744.9073
L'Via L'Viaquez,The Mars Volta,741.642
Skylark,Mulgrew Miller,738.97751
Well Done (Serafin Remix),Martin Buttrich,738.01098
Good Bait,JOHN COLTRANE,729.36444
