Country	Year	Unemployment.Rate
Canada	1981	5.90000009536743
Finland	1981	3.79999995231628
France	1981	5.19999980926514
Japan	1981	1.79999995231628
Norway	1981	1.5
Singapore	1981	1.79999995231628
Spain	1981	8.89999961853027
Sweden	1981	1.70000004768372
United States	1981	5.69999980926514
Canada	1982	8.89999961853027
Finland	1982	4.19999980926514
France	1982	5.69999980926514
Japan	1982	1.89999997615814
Norway	1982	1.79999995231628
Singapore	1982	1.60000002384186
Spain	1982	10.1999998092651
Sweden	1982	2.20000004768372
United States	1982	7.80000019073486
Canada	1983	9.89999961853027
Finland	1983	4.19999980926514
France	1983	6
Ireland	1983	12.5
Japan	1983	2.20000004768372
Norway	1983	2.59999990463257
Portugal	1983	5.30000019073486
Singapore	1983	2.09999990463257
Spain	1983	11.5
Sweden	1983	2.40000009536743
United States	1983	7.90000009536743
Canada	1984	9.69999980926514
Finland	1984	3.70000004768372
France	1984	7
Ireland	1984	14
Japan	1984	2.20000004768372
Norway	1984	2.59999990463257
Portugal	1984	5.80000019073486
Singapore	1984	1.89999997615814
Spain	1984	13.8000001907349
Sweden	1984	2.20000004768372
United States	1984	6
Canada	1985	9.19999980926514
Finland	1985	3.79999995231628
France	1985	7.69999980926514
Hong Kong, China	1985	2.20000004768372
Ireland	1985	15.6000003814697
Japan	1985	2.09999990463257
Norway	1985	2
Portugal	1985	6.19999980926514
Singapore	1985	3.09999990463257
Spain	1985	15.5
Sweden	1985	1.89999997615814
United States	1985	5.80000019073486
Australia	1986	5.80000019073486
Canada	1986	8.30000019073486
Finland	1986	4.19999980926514
France	1986	8.19999980926514
Hong Kong, China	1986	1.79999995231628
Ireland	1986	15.5
Japan	1986	2.20000004768372
New Zealand	1986	2.79999995231628
Norway	1986	1.39999997615814
Philippines	1986	7.80000019073486
Portugal	1986	6.19999980926514
Singapore	1986	4.80000019073486
Spain	1986	15
Sweden	1986	1.89999997615814
United States	1986	5.59999990463257
Australia	1987	5.90000009536743
Canada	1987	7.69999980926514
Finland	1987	4.30000019073486
France	1987	8.69999980926514
Hong Kong, China	1987	1.10000002384186
Ireland	1987	15.3999996185303
Japan	1987	2.29999995231628
Netherlands	1987	8.30000019073486
New Zealand	1987	2.90000009536743
Norway	1987	1.5
Philippines	1987	7.40000009536743
Portugal	1987	5.19999980926514
Singapore	1987	3.59999990463257
Spain	1987	14.8999996185303
Sweden	1987	1.60000002384186
United States	1987	5
Australia	1988	5.19999980926514
Canada	1988	6.90000009536743
Finland	1988	3.79999995231628
France	1988	8.5
Hong Kong, China	1988	0.89999997615814
Ireland	1988	15
Japan	1988	2
Netherlands	1988	8.19999980926514
New Zealand	1988	4
Norway	1988	2.20000004768372
Philippines	1988	6.30000019073486
Portugal	1988	4.19999980926514
